DATE,ACDGNO
2014-01-01,33373.0
2014-02-01,35339.0
2014-03-01,35657.0
2014-04-01,34980.0
2014-05-01,36666.0
2014-06-01,35996.0
2014-07-01,38458.0
2014-08-01,36547.0
2014-09-01,36744.0
2014-10-01,37418.0
2014-11-01,36632.0
2014-12-01,38306.0
2015-01-01,35746.0
2015-02-01,35693.0
2015-03-01,38828.0
2015-04-01,37917.0
2015-05-01,38368.0
2015-06-01,38952.0
2015-07-01,40026.0
2015-08-01,39063.0
2015-09-01,39787.0
2015-10-01,38377.0
2015-11-01,39650.0
2015-12-01,39229.0
2016-01-01,40219.0
2016-02-01,40655.0
2016-03-01,39197.0
2016-04-01,39779.0
2016-05-01,38463.0
2016-06-01,39228.0
2016-07-01,39681.0
2016-08-01,39862.0
2016-09-01,40056.0
2016-10-01,39665.0
2016-11-01,39090.0
2016-12-01,40009.0
2017-01-01,40261.0
2017-02-01,39029.0
2017-03-01,38747.0
2017-04-01,38005.0
2017-05-01,39485.0
2017-06-01,38939.0
2017-07-01,37722.0
2017-08-01,39100.0
2017-09-01,38742.0
2017-10-01,39413.0
2017-11-01,40242.0
2017-12-01,39554.0
2018-01-01,40595.0
2018-02-01,40958.0
2018-03-01,41171.0
2018-04-01,42237.0
2018-05-01,38728.0
2018-06-01,41117.0
2018-07-01,42412.0
2018-08-01,42031.0
2018-09-01,42744.0
2018-10-01,43482.0
2018-11-01,43221.0
2018-12-01,44075.0
2019-01-01,43800.0
