DATE,BUSLOANS
2014-01-01,1586.5609
2014-02-01,1619.869
2014-03-01,1634.3453
2014-04-01,1650.9798
2014-05-01,1663.6246
2014-06-01,1676.8434
2014-07-01,1694.8459
2014-08-01,1711.9877
2014-09-01,1725.5246
2014-10-01,1730.1585
2014-11-01,1751.4829
2014-12-01,1773.3217
2015-01-01,1791.2899
2015-02-01,1807.9423
2015-03-01,1834.7697
2015-04-01,1847.6951
2015-05-01,1863.4812
2015-06-01,1880.2942
2015-07-01,1889.5758
2015-08-01,1903.6556
2015-09-01,1914.9196
2015-10-01,1929.127
2015-11-01,1946.2085
2015-12-01,1953.0632
2016-01-01,1963.6364
2016-02-01,1987.0285
2016-03-01,2019.2309
2016-04-01,2033.284
2016-05-01,2048.1415
2016-06-01,2051.1398
2016-07-01,2058.017
2016-08-01,2051.5753
2016-09-01,2069.5016
2016-10-01,2084.7039
2016-11-01,2089.1464
2016-12-01,2083.862
2017-01-01,2082.1885
2017-02-01,2082.3258
2017-03-01,2066.5222
2017-04-01,2067.6704
2017-05-01,2071.93
2017-06-01,2073.4365
2017-07-01,2077.1724
2017-08-01,2085.685
2017-09-01,2103.8241
2017-10-01,2111.9489
2017-11-01,2106.4583
2017-12-01,2105.8149
2018-01-01,2109.3141
2018-02-01,2111.2528
2018-03-01,2124.4802
2018-04-01,2166.534
2018-05-01,2171.6912
2018-06-01,2189.2095
2018-07-01,2204.6375
2018-08-01,2210.091
2018-09-01,2225.1309
2018-10-01,2245.9361
2018-11-01,2271.322
2018-12-01,2304.0901
2019-01-01,2325.3729
